peptide_target	TCGA-EP-A3JL-01A	TCGA-DD-A3A6-01A	TCGA-UB-A7MA-01A	TCGA-BD-A3ER-01A	TCGA-CC-5261-01A	TCGA-K7-A5RF-01A	TCGA-DD-A4NF-01A	TCGA-DD-A11D-01A	TCGA-G3-A7M9-01A	TCGA-DD-A11B-01A	TCGA-ES-A2HS-01A	TCGA-G3-A25W-01A	TCGA-XR-A8TC-01A	TCGA-DD-A39X-01A	TCGA-CC-A8HT-01A	TCGA-FV-A23B-01A	TCGA-G3-A7M7-01A	TCGA-CC-5262-01A	TCGA-G3-A7M8-01A	TCGA-FV-A4ZP-01A	TCGA-DD-A11C-01A	TCGA-DD-A1ED-01A	TCGA-BC-A10R-01A	TCGA-EP-A2KB-01A	TCGA-G3-A5SK-01A	TCGA-ED-A8O5-01A	TCGA-G3-A5SJ-01A	TCGA-DD-A1EC-01A	TCGA-K7-A5RG-01A	TCGA-UB-A7MD-01A	TCGA-CC-A3MC-01A	TCGA-ED-A7PX-01A	TCGA-MR-A8JO-01A	TCGA-BC-A10U-01A	TCGA-DD-A4NP-01A	TCGA-DD-A114-01A	TCGA-RG-A7D4-01A	TCGA-BC-A3KF-01A	TCGA-G3-A25X-01A	TCGA-BD-A2L6-01A	TCGA-DD-A1EF-01A	TCGA-DD-A4NB-01A	TCGA-PD-A5DF-01A	TCGA-MR-A520-01A	TCGA-BC-A110-01A	TCGA-T1-A6J8-01A	TCGA-DD-A1EB-01A	TCGA-FV-A4ZQ-01A	TCGA-CC-A1HT-01A	TCGA-CC-A8HU-01A	TCGA-GJ-A6C0-01A	TCGA-XR-A8TF-01A	TCGA-G3-A25Y-01A	TCGA-CC-A5UE-01A	TCGA-DD-A1EL-01A	TCGA-DD-A73D-01A	TCGA-ED-A7XO-01A	TCGA-CC-A3MB-01A	TCGA-ED-A66Y-01A	TCGA-G3-A7M6-01A	TCGA-BC-A10Q-01A	TCGA-FV-A3R2-01A	TCGA-G3-A3CG-01A	TCGA-HP-A5MZ-01A	TCGA-G3-A3CK-01A	TCGA-DD-A73G-01A	TCGA-DD-A3A3-01A	TCGA-DD-A4NI-01A	TCGA-DD-AA3A-01A	TCGA-DD-A11A-01A	TCGA-CC-A7IG-01A	TCGA-CC-A3MA-01A	TCGA-CC-5258-01A	TCGA-BC-A69I-01A	TCGA-DD-A1EE-01A	TCGA-BC-A3KG-01A	TCGA-BC-A217-01A	TCGA-DD-A4NO-01A	TCGA-DD-A3A8-01A	TCGA-DD-A73C-01A	TCGA-KR-A7K7-01A	TCGA-DD-A73F-01A	TCGA-DD-A118-01A	TCGA-DD-A1E9-01A	TCGA-ES-A2HT-01A	TCGA-FV-A496-01A	TCGA-G3-A7M5-01A	TCGA-UB-A7MF-01A	TCGA-RC-A6M6-01A	TCGA-ED-A82E-01A	TCGA-ED-A66X-01A	TCGA-UB-A7MB-01A	TCGA-ED-A4XI-01A	TCGA-ED-A7XP-01A	TCGA-DD-A4NA-01A	TCGA-DD-A1EH-01A	TCGA-FV-A2QQ-01A	TCGA-CC-A8HS-01A	TCGA-CC-A123-01A	TCGA-BW-A5NO-01A	TCGA-CC-A7IJ-01A	TCGA-UB-A7MC-01A	TCGA-EP-A3RK-01A	TCGA-DD-A4NH-01A	TCGA-NI-A8LF-01A	TCGA-DD-A39Z-01A	TCGA-EP-A2KA-01A	TCGA-WQ-A9G7-01A	TCGA-G3-A3CH-01A	TCGA-DD-A3A9-01A	TCGA-DD-A115-01A	TCGA-GJ-A9DB-01A	TCGA-BC-A10X-01A	TCGA-BC-A216-01A	TCGA-ED-A459-01A	TCGA-BC-4072-01B	TCGA-DD-A1EJ-01A	TCGA-BW-A5NP-01A	TCGA-BC-A10S-01A	TCGA-CC-A8HV-01A	TCGA-DD-A3A7-01A	TCGA-BC-A10Y-01A	TCGA-EP-A2KC-01A	TCGA-BC-A10Z-01A	TCGA-ED-A7PZ-01A	TCGA-DD-A3A1-01A	TCGA-DD-A4NG-01A	TCGA-CC-A5UC-01A	TCGA-EP-A12J-01A	TCGA-ED-A627-01A	TCGA-DD-A116-01A	TCGA-DD-A4NS-01A	TCGA-CC-5263-01A	TCGA-DD-A3A0-01A	TCGA-YA-A8S7-01A	TCGA-CC-A7IL-01A	TCGA-DD-A4NE-01A	TCGA-G3-A25U-01A	TCGA-BW-A5NQ-01A	TCGA-CC-5260-01A	TCGA-ED-A5KG-01A	TCGA-BD-A3EP-01A	TCGA-CC-A7IF-01A	TCGA-CC-A7IK-01A	TCGA-G3-A25Z-01A	TCGA-DD-A39W-01A	TCGA-DD-A4NK-01A	TCGA-DD-A4NR-01A	TCGA-DD-A73B-01A	TCGA-CC-5264-01A	TCGA-BC-A5W4-01A	TCGA-O8-A75V-01A	TCGA-DD-A119-01A	TCGA-BC-A69H-01A	TCGA-DD-A4NJ-01A	TCGA-HP-A5N0-01A	TCGA-BC-A10T-01A	TCGA-ED-A8O6-01A	TCGA-CC-A3M9-01A	TCGA-ED-A7PY-01A	TCGA-G3-A5SL-01A	TCGA-NI-A4U2-01A	TCGA-CC-A7II-01A	TCGA-DD-A3A4-01A	TCGA-EP-A26S-01A	TCGA-G3-A25S-01A	TCGA-G3-A3CI-01A	TCGA-DD-A4NN-01A	TCGA-DD-A39Y-01A	TCGA-LG-A6GG-01A	TCGA-DD-A4NQ-01A	TCGA-DD-A4ND-01A	TCGA-G3-A5SM-01A	TCGA-FV-A2QR-01A	TCGA-DD-A3A5-01A	TCGA-DD-A73E-01A	TCGA-DD-A39V-01A	TCGA-CC-A7IH-01A	TCGA-G3-A25V-01A	TCGA-BC-A8YO-01A	TCGA-FV-A3R3-01A	TCGA-DD-A3A2-01A	TCGA-CC-A5UD-01A	TCGA-BC-A10W-01A
1433BETA	0.30513	0.2739	0.22077	0.26979	0.15031	0.26818	0.26435	0.19341	0.10059	0.15778	0.15343	0.18253	0.099232	0.1862	0.1483	0.23076	0.31347	0.19588	0.26817	0.078405	0.24603	0.26992	0.29688	0.17663	0.29643	0.10469	0.21716	0.30433	0.26767	0.25256	0.12655	0.21081	0.2697	0.081699	0.27679	0.023295	0.18365	0.31988	0.10906	0.13439	0.32295	0.27998	0.21439	0.30277	0.21913	0.31502	0.22316	0.26598	0.25442	0.13458	0.21333	0.22012	0.28231	0.21999	0.11579	0.29968	0.18535	0.16728	0.16841	0.2624	0.30162	0.27822	0.2378	0.28995	0.2806	0.17447	0.2081	0.26557	0.12994	0.27997	0.16895	0.19052	0.16305	0.2933	0.19973	-0.064583	0.097703	0.26459	0.25526	0.25814	0.37021	0.25831	0.043811	0.18817	0.23323	0.21859	0.22622	0.18606	0.035686	0.20007	0.21302	0.15025	0.19894	0.22765	0.17957	0.080809	0.33157	0.086763	0.14405	0.13641	0.015713	0.1578	0.22631	0.27414	0.19521	0.22952	0.13738	0.11153	0.23373	0.18446	0.21574	0.19592	0.31149	-0.049807	0.10341	0.18528	0.11867	0.093951	0.34962	0.1347	0.17893	0.19147	0.24506	0.1876	0.19182	0.13984	0.24098	0.13178	0.23207	0.18266	0.20222	0.22688	0.14195	0.20344	0.22884	0.21814	0.20876	0.1294	0.11635	0.074189	0.14295	0.28659	0.21505	0.22548	0.25731	0.18169	0.18891	0.1631	0.24675	0.094697	0.214	0.21016	0.23954	0.14045	0.14315	0.23842	0.24136	0.17212	-0.029242	0.13613	0.27082	0.27381	0.15257	0.30045	0.23618	0.27458	0.30238	0.039392	-0.024725	0.2701	0.16195	0.29382	0.26149	0.1957	0.24605	0.24816	0.26768	0.18094	0.22717	0.12903	0.31677	0.2695	0.17745	0.084178
1433EPSILON	0.17564	-0.00048666	0.022561	0.18487	0.040468	0.24587	0.25873	0.17442	0.079015	0.17574	0.19212	0.14275	-0.057292	0.17713	0.16285	0.13636	0.21361	0.21145	0.25671	0.12802	0.22251	0.28382	0.2195	0.20442	0.20597	0.10016	0.13096	0.11665	0.2181	0.20324	0.11149	0.034688	0.11911	0.17675	0.28569	0.039612	0.15064	0.16338	0.14119	0.07876	0.15766	0.21831	0.1344	0.27746	0.15383	0.17379	0.21232	0.15347	-0.012398	-0.0098572	0.18501	0.18606	0.23923	0.12144	0.05282	0.15405	0.052474	0.18784	0.11696	0.1063	0.22916	0.18239	0.13643	0.10327	0.27203	0.024087	0.039749	0.18503	0.051004	0.15928	0.076447	0.13657	0.12838	0.22431	0.2227	-0.058286	0.11088	0.14833	0.21601	0.16927	0.12283	0.098551	-0.027672	0.13444	0.23434	0.23724	0.22473	0.18737	0.046437	0.097605	-0.0074324	0.045065	0.18513	0.16775	0.0091148	0.061091	0.16894	0.027976	0.07647	0.097513	0.18418	0.099963	0.21399	-0.065624	0.21666	0.23884	0.16304	0.076159	0.23912	0.24688	0.19812	0.1111	0.22626	-0.082313	0.072222	0.23787	0.09354	0.06934	0.19315	-0.032572	0.14013	0.15902	0.23218	0.19832	0.14006	0.23565	0.21384	0.10988	0.17066	0.1808	0.21337	0.14635	-0.039315	0.19805	0.27914	0.1846	0.13916	0.10108	0.14633	-0.004294	0.089627	0.21109	0.13895	0.16962	0.1747	0.20554	0.14067	0.13929	0.12636	0.090102	0.11924	0.14646	0.15536	0.097881	0.068312	0.19268	0.29073	-0.0055407	0.043661	0.12693	0.23918	0.21468	0.13042	0.24786	0.27924	0.22961	0.3001	-0.11885	0.045768	0.16562	0.24681	0.18558	0.25865	0.19116	0.18964	0.19154	0.25984	0.17352	0.24142	-0.03679	0.25382	0.25897	0.11133	0.087768
1433ZETA	-0.50706	0.82257	0.38371	-0.86692	-0.634	-0.87281	-0.87277	-0.90833	-0.20109	-1.0762	-0.96278	-0.96024	-0.20835	-0.52311	-0.56172	-1.15	-0.35658	-0.54008	-0.91982	0.31245	-0.99896	-0.81584	-0.84661	-0.85868	-0.82707	-1.017	0.070844	-0.43511	-0.90097	-0.91507	-0.60662	-0.058637	-0.98808	-0.26111	-0.90789	-0.55994	-0.80984	-0.85376	-0.29674	-1.0629	-0.5052	-0.63838	-0.67361	-0.95905	-1.0068	-0.82242	-0.97926	-0.78644	0.57477	-1.1156	-0.78351	-1.0865	-0.83836	-0.92523	-0.61108	-1.1284	-1.0786	-0.81713	-0.70933	-0.21883	-0.99473	-0.86486	-0.9756	-0.38063	-1.0319	-0.52965	0.21367	-0.84635	0.17972	-0.85681	-0.56594	0.08971	-0.50816	-1.0581	-0.81584	-1.1721	-1.1691	-0.81928	-1.0727	-1.2376	-0.54	-0.6734	-0.47352	-0.61946	-0.88521	-0.91503	-0.96719	-0.87163	0.11635	0.20604	-0.47162	-0.72021	-0.93613	-0.96529	-0.17719	-0.61406	-0.84399	-0.83193	-0.80623	-0.82543	-0.36065	-1.1315	-0.70936	1.1536	-0.9838	-0.83275	-0.49729	-0.038378	-0.83445	-0.78259	-0.89163	-0.80758	-0.78683	-1.5341	-0.60373	-0.08805	-0.92148	-0.60116	-1.0515	-0.38229	-0.38038	-1.0289	-0.73843	-1.1001	-0.80671	-0.66417	-0.73608	-0.7204	-1.2392	0.65616	-0.66769	-0.86452	-0.12038	-1.0683	0.33909	-0.9545	-0.90153	-1.1511	-0.87621	-0.045177	-0.7669	-0.9557	-0.53072	-1.019	-0.98157	-1.1458	-1.0919	-0.28727	-1.1188	-0.70648	-1.0244	-0.66478	-0.57283	-0.34147	-0.68408	-1.2339	-0.85113	0.34637	-0.33506	-0.55845	-0.72868	-1.047	-0.67143	-1.022	-1.0471	-1.0761	-0.82238	-0.61551	-0.16483	-1.0608	-0.38431	-0.80525	-0.9989	-0.89664	-1.0741	-0.98943	-0.67135	-0.97795	-0.89697	-0.93637	-0.83632	-1.0429	-0.96352	-0.62497
4EBP1	-0.10912	0.28659	0.87417	-0.39306	-0.3191	-0.41652	-0.43994	-0.15451	0.54448	-0.56891	-0.5441	-0.44631	0.11577	-0.29835	-0.46963	-0.43638	-0.36222	-0.28589	-0.13449	-0.012137	-0.15941	-0.29632	-0.32482	-0.37372	-0.22715	-0.64556	0.091717	-0.15967	-0.44104	-0.46425	-0.37675	-0.37491	-0.36513	0.77764	-0.35587	0.16328	-0.33596	-0.34044	0.19694	-0.38173	-0.42721	-0.53493	-0.078958	-0.31449	-0.35108	-0.25755	-0.27624	-0.40886	-0.067914	0.024614	-0.086962	-0.041171	-0.46575	-0.26995	-0.31341	-0.1971	-0.034003	-0.20458	-0.035168	-0.289	-0.25593	-0.43987	-0.44321	-0.4368	-0.28842	-0.57294	-0.43559	-0.3749	0.19232	-0.35777	-0.43415	-0.2415	-0.4899	-0.42503	-0.24113	-0.22157	-0.39753	-0.40606	-0.3243	-0.50039	-0.22052	-0.72774	-0.36592	-0.54811	-0.44902	-0.32928	-0.21595	-0.24379	-0.20894	0.34284	-0.29939	-0.026034	-0.52575	-0.47165	0.12646	-0.032092	-0.40916	0.087857	-0.50442	-0.2427	0.13213	-0.21975	-0.39063	0.94974	-0.38352	-0.49667	-0.57878	-0.28909	-0.17232	-0.7622	-0.47223	0.0535	-0.27809	0.068831	-0.2124	-0.38187	-0.3246	-0.42442	-0.18157	-0.15444	-0.24878	-0.3032	-0.31052	0.32427	-0.14896	-0.23407	-0.22964	0.14191	-0.41586	-0.049194	-0.43281	-0.4044	0.63067	-0.40892	-0.030722	-0.48932	-0.10914	-0.02546	0.0045943	0.16359	-0.63219	-0.45938	-0.13972	-0.39877	-0.31279	-0.52396	-0.40938	-0.57026	-0.38192	0.1134	-0.19732	-0.29085	-0.41821	-0.52595	-0.13763	-0.25559	-0.21642	-0.2065	0.29668	-0.54842	-0.25819	-0.14417	0.44701	-0.42308	-0.22994	-0.39059	-0.21827	-0.73115	-0.29467	-0.37232	0.15863	-0.25198	-0.27732	-0.59112	-0.29303	-0.6054	-0.37612	-0.33118	-0.41276	-0.0031803	-0.49635	-0.26721	-0.14036	0.099019
4EBP1_pS65	-0.68441	0.55172	0.14406	-0.72413	-0.12951	-0.52077	-0.70593	-0.60154	0.1467	-0.66471	-0.49928	-0.5245	-0.096554	-0.7082	-0.40081	-0.60499	-0.79272	-0.72299	-0.52362	-0.37689	-0.28879	-0.75851	-0.60101	-0.69994	-0.66385	0.1158	-0.58487	-0.22834	-0.82867	-0.72449	-0.24567	0.30668	-0.57283	0.22207	-0.68683	0.13476	-0.4671	-0.59927	0.45849	-0.20444	-0.16467	-0.68874	-0.5933	-0.64359	-0.49635	-0.618	-0.44106	-0.40372	-0.37345	-0.27668	0.23333	-0.37092	-0.77595	-0.46022	-0.51397	-0.61051	-0.21121	-0.28033	-0.25566	-0.4371	-0.81927	-0.65466	-0.44782	-0.59729	-0.58839	-0.2883	-0.38533	-0.65958	0.41596	-0.71421	-0.12412	-0.076085	-0.34047	-0.72146	-0.54647	0.26211	-0.065666	-0.5591	-0.47882	-0.62244	-0.60699	-0.57964	-0.24535	-0.69207	-0.79316	-0.32651	-0.7427	-0.5432	-0.1869	-0.296	-0.28268	-0.42587	-0.50309	-0.55078	0.014176	0.047948	-0.70423	-0.089876	-0.32078	-0.29051	0.086071	-0.54346	-0.79308	0.57789	-0.5371	-0.47112	-0.49582	-0.045002	-0.53039	-0.7351	-0.56512	-0.38479	-0.85732	0.24872	-0.028231	-0.31694	-0.69741	-0.34907	-0.12928	0.19227	-0.33012	-0.3954	-0.78682	-0.53193	-0.42867	-0.56682	-0.69077	-0.33534	-0.52755	0.30996	-0.49971	-0.49621	0.26036	-0.49734	-0.04382	-0.70919	-0.13808	-0.53296	-0.27296	0.10398	-0.14138	-0.67719	-0.53826	-0.75077	-0.7171	-0.41804	-0.55465	-0.35444	-0.34914	0.030755	-0.70257	-0.5478	-0.48248	-0.27024	-0.32152	-0.64673	-0.60009	-0.37946	0.49991	-0.35266	-0.369	-0.77993	-0.33359	-0.82146	-0.46063	-0.4291	-0.84367	-0.24	-0.22465	-0.58543	-0.28556	-0.56958	-0.68671	-0.38584	-0.5512	-0.79307	-0.53633	-0.57399	-0.73163	0.15731	-0.85787	-0.51393	-0.20159	-0.19529
4EBP1_pT37T46	0.0084666	0.85424	0.60254	-0.40614	0.43427	-0.48977	-0.46732	0.17305	0.10401	-0.49598	-0.0013018	-0.15078	0.77421	-0.38581	0.014982	-0.24318	-0.55669	-0.2704	-0.032651	-0.51843	0.20064	-0.55096	-0.30352	-0.27002	-0.39598	-0.42111	-0.46249	-0.31616	-0.47758	-0.49526	-0.31914	0.68974	-0.89906	1.7799	-0.66905	0.80664	-0.39353	-0.19149	-0.37799	0.76924	0.31657	-0.80513	0.22325	-0.25634	-0.034833	-0.27364	0.24141	-0.21919	-0.74053	-0.17662	0.9991	0.033642	-0.47664	-0.12749	0.39183	-0.31053	0.3008	0.47194	0.32461	-0.015453	-0.41063	-0.64846	0.36443	-0.24112	-0.42556	0.33163	-0.021644	-0.3405	-0.49985	0.11038	-0.06827	0.081247	-0.39686	-0.63444	-0.44517	0.87327	0.36724	-0.42304	-0.26165	-0.39795	-0.61484	-0.20913	0.097201	0.057424	-0.44024	-0.067557	-0.52845	0.030457	0.30958	-0.5556	0.55394	0.21212	0.047545	-0.39719	0.21685	0.48785	-0.24579	0.63759	-0.018169	0.023725	0.49256	-0.28092	-0.35361	1.8146	-0.43306	-0.14759	-0.10035	0.62733	-0.046045	-0.64118	-0.18412	0.60301	-0.33259	-0.16722	0.70846	-0.22017	-1.0679	-0.16784	0.082591	0.45022	-0.81692	0.2981	-0.69949	0.018437	-0.46787	-0.36493	-0.15942	-0.26397	-0.2698	-0.72355	-0.11221	-0.65707	0.65275	0.050139	0.50848	-0.35598	0.12542	-0.14777	0.15677	0.074439	0.11579	-0.47995	0.55136	-0.47731	-0.10658	-0.19395	-0.14321	0.14442	0.232	0.89088	-0.19808	-0.25625	-0.51195	-0.49124	0.12455	0.10924	-0.17719	-0.47407	0.64311	-0.22682	-0.36498	0.089111	0.37103	-0.056603	-0.17839	-0.41429	-0.40855	-0.0042787	0.1209	-0.029668	-0.24263	-0.40629	-0.13605	0.35403	0.12596	-0.31995	-0.15611	0.21796	-0.36197	0.49825	-1.0096	-0.43067	0.071263	-0.83467
4EBP1_pT70	0.21722	0.64385	0.3674	0.0094216	0.060146	-0.031951	-0.10219	0.072191	0.33761	0.016992	-0.031737	-0.0083818	0.25106	0.013126	0.092688	-0.00021128	-0.013114	0.061684	0.014261	0.13667	0.20576	-0.063195	-0.010342	-0.092938	0.11289	0.10522	0.082002	0.33094	-0.052069	-0.015336	0.033818	0.4207	0.069365	0.72757	-0.027006	0.29804	0.039279	-0.023969	0.16376	0.48302	0.094996	0.085638	0.19148	0.02057	0.18974	-0.045135	0.052621	0.10944	0.30443	0.05236	0.33343	0.012689	0.008282	-0.10156	-0.10058	0.0308	0.22823	0.10217	-0.015474	0.016993	0.0078879	0.041233	0.09493	0.10857	-0.090691	-0.066867	0.27462	-0.0026163	0.16075	0.073171	0.05871	0.038666	0.00055586	-0.089223	-0.072261	0.26308	0.061316	-0.090877	-0.047315	0.022573	0.063036	0.062714	0.0086977	0.067522	-0.052356	-0.076634	-0.0038883	0.030739	0.08636	0.42071	0.16265	0.089246	-0.023435	-0.03196	0.39875	0.18655	0.025386	0.22747	-0.041954	0.061575	0.41126	-0.097093	-0.050352	0.91512	-0.046996	-0.05575	-0.035046	0.30499	0.053465	-0.047731	-0.025213	0.27866	-0.058696	0.23007	0.2008	-0.046868	-0.16156	0.10474	0.23194	0.25214	-0.089571	0.10225	-0.062068	0.21597	0.13143	0.20646	0.026728	0.080283	-0.037527	0.21125	-0.038198	0.037623	0.36791	0.0045029	0.47065	-0.1147	0.09513	0.011599	0.07262	0.23623	0.0020584	-0.046386	0.084262	-0.055583	0.022048	-0.063902	-0.081956	0.019694	0.076576	0.33159	0.064956	0.0057844	-0.02204	-0.080941	0.12186	0.036657	0.046155	0.30807	0.387	0.043392	-0.036256	0.25017	0.2307	0.1724	-0.041804	-0.090347	-0.034697	-0.13362	0.22124	-0.095788	0.43507	-0.0094447	0.03376	0.14281	-0.029002	-0.069848	-0.019576	0.080101	-0.060514	0.24739	-0.091752	0.016684	0.16265	0.15497
53BP1	-1.1473	-1.6122	-1.1964	-1.1977	-0.95851	-1.1902	-1.3502	-1.3014	-0.79974	-1.0221	-1.2617	-0.98023	-1.1648	-1.1804	-0.87208	-0.99343	-1.0979	-1.4961	-1.26	-1.2491	-1.2261	-1.1689	-0.9386	-1.2033	-1.4009	-1.2356	-1.0866	-0.93406	-1.2772	-1.2386	-1.2227	-0.70003	-1.0578	-0.90633	-1.3143	-0.93942	-1.1262	-1.1988	-0.85146	-1.3116	-1.0727	-1.7715	-0.92842	-1.2414	-1.0568	-1.1983	-1.2954	-1.034	-1.0258	-1.3087	-1.8973	-0.61708	-1.0783	-0.63079	-1.1401	-1.1114	-0.9012	-1.0914	-1.1857	-0.62429	-1.1335	-1.1979	-1.1042	-1.1611	-1.2498	-0.83934	-1.7922	-1.0969	-0.39505	-1.3227	-1.2032	-0.97021	-1.1001	-1.1601	-0.93927	-0.32135	-1.132	-1.1314	-1.0274	-1.4342	-1.0975	-1.1543	-1.4793	-1.2611	-1.1867	-1.4423	-1.1923	-1.006	-0.10488	-0.35798	-0.81982	-0.95689	-1.2296	-1.1783	-0.67559	-0.81571	-1.2202	-0.97826	-1.1854	-1.1829	-0.077784	-0.92964	-1.0568	-2.6628	-1.2842	-1.2426	-1.2664	-1.5177	-1.3033	-1.469	-1.0395	-1.1627	-0.98068	-0.83667	-1.1024	-1.3024	-0.72635	-0.52692	-1.2429	-0.8516	-1.2663	-0.97674	-1.1989	-1.3415	-1.5307	-2.0338	-1.2568	-1.3513	-1.2623	-1.3245	-1.0878	-1.1219	-1.0654	-1.1643	-0.41784	-1.263	-1.051	-1.3323	-0.7061	0.40013	-0.87567	-0.9566	-1.1336	-0.89937	-1.077	-1.175	-1.1784	-1.0503	-1.4574	-1.1833	-0.98465	-1.2378	-1.234	-0.88583	-1.3105	-1.3761	-1.3217	-1.3698	-0.15649	-1.0897	-1.2236	-1.2837	-0.86654	-1.4364	-0.88413	-1.2127	-1.2897	-0.74858	-0.99113	-1.1829	-1.7277	-1.0803	-1.4378	-1.4052	-1.2326	-1.2752	-1.2449	-1.0801	-1.1156	-0.68794	-1.0714	-1.1149	-0.88247	-1.2244
ACC_pS79	0.13332	0.4159	0.0055983	0.4079	0.25956	0.34161	0.21032	0.1374	-0.0015176	0.17371	0.5941	0.74026	0.13485	0.35612	0.92209	0.85976	-0.034698	0.36512	0.076486	0.97384	-0.088949	-0.067223	0.17221	0.92542	-0.23579	0.14033	0.0070569	-0.30561	-0.11075	0.11544	0.26615	1.2517	-0.1731	-0.53885	0.23926	0.25948	1.1037	0.57314	0.44616	0.64826	-0.44309	-0.52309	0.6101	0.42229	0.11564	0.23624	0.8308	0.39701	0.6653	0.78929	0.2642	0.37563	0.038769	0.60062	1.0607	0.59201	-0.34453	0.71272	0.70874	0.28723	0.40639	0.24811	0.46667	0.00097078	0.059772	0.33243	-0.0228	0.31969	-1.0977	0.62631	0.56915	-0.47216	0.32029	0.10525	0.29623	1.7278	0.79592	0.47276	0.4613	0.93963	0.30408	-0.019103	-0.24087	0.23927	0.2164	1.0505	0.35205	0.13132	0.92325	-1.496	0.26124	1.3965	0.46273	-0.30493	-1.3348	0.30035	0.12034	1.4349	0.97385	1.3922	-0.26657	0.58351	0.34674	0.16804	0.64415	0.49825	0.53338	1.8882	0.71214	-0.21005	0.42621	-0.0074364	0.084719	0.96024	1.1381	-0.078244	1.2458	0.27146	-1.0081	0.99769	0.85426	0.063834	0.34023	-0.028271	-0.80837	0.80785	0.80365	1.2141	0.20753	0.18193	0.73525	-0.35401	0.54948	0.43919	-0.84751	1.0604	0.93662	0.79717	0.87805	-0.86687	0.26188	0.097962	0.42731	0.58639	0.69142	0.45964	0.93529	0.26927	1.2274	1.0031	0.43018	0.60328	0.17663	1.3744	0.77177	0.43089	0.075859	0.44742	-0.34707	-0.45124	0.94188	0.063278	0.67776	0.55988	0.55343	-0.049769	0.21386	0.13552	1.3135	0.36649	0.42242	0.24347	0.18594	0.22548	-0.20933	0.3478	0.20195	-0.18408	0.1789	0.21338	-0.20849	0.8648	1.1735	-0.58737
ACC1	-0.43926	0.80921	1.2777	0.20492	0.038086	-0.86929	-0.0096129	-0.28293	0.39958	-0.69423	0.20413	0.26989	0.074698	-0.27235	1.2993	0.52462	-0.91262	0.99257	-0.90339	1.765	-0.58956	-0.86193	-0.071488	0.55782	-1.5052	0.12112	0.99071	-0.31297	-1.4056	-0.69487	0.18051	2.0246	-1.1496	-1.123	-0.16769	0.11223	0.63357	-0.22506	0.64842	0.38017	-0.85105	-1.5102	1.1254	-0.46159	-0.3042	-0.092553	0.40214	0.3515	1.2865	0.2606	-0.47459	-0.13724	-1.063	0.052693	1.2724	0.68584	-0.71587	0.54424	0.059861	0.09518	0.09969	0.016052	0.71453	0.059219	-0.93313	0.22744	0.71482	-0.40427	-1.1718	0.58593	0.45045	-0.17417	0.31142	-0.69513	-0.16352	1.3204	0.28781	0.0021839	0.1264	0.39108	-0.077287	-0.76342	0.2715	-0.21457	-0.42407	0.66666	-0.41459	0.062079	0.95696	-1.5413	0.27642	1.312	0.19873	-0.99774	0.067425	0.55944	-0.53856	1.2813	1.1182	1.4615	-0.024398	0.20083	0.17707	1.0868	0.19735	-0.01549	0.47188	2.8154	0.49381	0.22593	-0.018242	-0.42625	-0.88163	0.97306	0.82844	0.6178	1.6789	0.23185	-2.4274	1.0025	1.5143	-0.85463	0.1031	0.84847	0.07799	1.1216	0.3104	2.1019	-0.20125	2.3845	1.0115	0.036514	1.0661	-0.25351	-1.0182	1.4461	0.50699	0.088122	0.99988	0.12757	0.22932	-0.85458	0.25118	0.27516	-0.04076	0.33419	0.42887	-0.2328	0.94957	0.8663	-0.30461	0.20838	0.015148	1.2797	0.56794	-0.72628	0.21784	1.638	-0.60772	0.013544	0.96434	-0.35859	0.68998	-0.23437	-0.18931	-0.76901	-0.89557	-0.10406	1.281	-0.5146	1.7295	-0.38056	-0.76791	0.2227	-1.4701	0.57335	-0.31222	-0.58277	-0.59404	-0.47444	-0.71111	0.3702	1.416	-0.32945
